id	filename	md5	size	state
30190657-68ac-4403-bc28-178574010d0a	nationwidechildrens.org_clinical.TCGA-L9-A443.xml	52e0f9b265f0f9da80af3d0091fcb982	35418	released
08a176bd-1cf2-4b0c-b7d2-1b9bf10b1c74	nationwidechildrens.org_clinical.TCGA-55-A48Y.xml	593fc0da1544a4d4668aaf33f9f3ecc1	46660	released
c10ef2c1-d4f3-4e61-b5bf-5c6890087e3b	nationwidechildrens.org_clinical.TCGA-55-8208.xml	85c84ed8830babe2c76d9708b87879e5	35966	released
1e327716-0c55-443f-afa7-804c5fd6b939	nationwidechildrens.org_clinical.TCGA-78-7542.xml	f0651768cd180c6e16860e30af9148a7	34186	released
75a6bfbc-2ca3-4115-9fe2-f9dd8a50d68b	nationwidechildrens.org_clinical_omf_v4.0_luad.txt	69b0522eaf594abc5b6a8bc72e12a1dd	53243	released
59015dfd-045b-4a80-9b4a-3cc3a41707f0	nationwidechildrens.org_clinical_drug_luad.txt	788d81f9481e42ea6571a253d3fa3cf6	191001	released
2babe148-ba7d-4490-a7fd-43ff247ac468	nationwidechildrens.org_clinical.TCGA-62-A46P.xml	f2b6accc2a0213211e3cc75746569053	27396	released
ca907bac-9383-4f41-a77d-43f5bc3e5e25	nationwidechildrens.org_clinical.TCGA-55-8302.xml	cf715e529f43198eea51fba342a6c2d3	34981	released
1762c0e8-1da0-43e8-9bd8-f28b46224790	nationwidechildrens.org_clinical.TCGA-L9-A743.xml	0b9714c7600788c2286152a907c32518	47374	released
d65684b4-e76e-4c1e-80da-99949bbbb05d	nationwidechildrens.org_clinical.TCGA-91-6835.xml	2fd95acee1122e29af6b4c03f3207e80	34779	released
46ae95c1-f345-498d-a3a0-d1222cceb6ba	nationwidechildrens.org_clinical.TCGA-55-8620.xml	e6b13c1a8b158c0315ef461a59270ca0	40281	released
312b23db-19d2-4c4b-bcc8-2a4eb2c35f50	nationwidechildrens.org_clinical.TCGA-44-A479.xml	6581e66584b5fbe615f697735f35ab47	43985	released
038d5076-c08c-4fde-9e96-f6fb4695056e	nationwidechildrens.org_clinical.TCGA-86-8279.xml	72392f60d38346b0bc2183d23e11df10	60041	released
4f262baf-0c0d-4c36-afce-065b271bd85a	nationwidechildrens.org_clinical.TCGA-L4-A4E6.xml	17166e663994ac49bc941db09790719e	35594	released
